title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
"Love Unscripted (Love, #1)",Tina Reber,2010,Young Adult, Fantasy,492,4.02,67961,,
"Love, Rosie (Paperback)",Cecelia Ahern,2004,Adult,Contemporary Romance,451,3.94,122412,,
Lovely War (Hardcover),Julie Berry,2019,Adult, Fantasy,565,4.25,44230,,
"Lover at Last (Black Dagger Brotherhood, #11)",J.R. Ward,2013,Young Adult, Fantasy,433,4.3,67563,,
"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,2009,Young Adult, Fantasy,640,4.36,111849,,
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,2006,Young Adult, Fantasy,509,4.44,173335,,
"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,2008,Young Adult, Fantasy,530,4.11,113315,,
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,2006,Young Adult, Fantasy,611,4.33,185613,,
"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,2010,Young Adult, Fantasy,475,4.39,109537,,
"Lover Reborn (Black Dagger Brotherhood, #10)",J.R. Ward,2012,Young Adult, Fantasy,448,4.33,80075,,
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,2007,Young Adult, Fantasy,398,4.29,131521,,
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,2007,Young Adult, Fantasy,306,4.31,129500,,
"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,2011,Young Adult, Fantasy,242,4.27,90350,,
Luna and the Lie (ebook),Mariana Zapata,2018,Young Adult, Fantasy,341,4.1,43382,,
"Magic Bites (Kate Daniels, #1)",Ilona Andrews,2007,Young Adult, Urban Fantasy,260,4.05,117960,,
"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,2010,Young Adult, Urban Fantasy,349,4.44,78949,,
"Magic Slays (Kate Daniels, #5)",Ilona Andrews,2011,Young Adult, Urban Fantasy,308,4.4,70852,,
"Magic Study (Study, #2)",Maria V. Snyder,2006,Young Adult, Fantasy,419,4.04,76628,,
Making Faces (ebook),Amy Harmon,2013,Adult, Contemporary Fiction,405,4.3,69574,,
Malibu Rising (Hardcover),Taylor Jenkins Reid,2021,Adult, Historical Fiction,384,4.09,595597,TRUE,
"Managed (VIP, #2)",Kristen Callihan,2016,Adult, Contemporary Romance,319,4.26,31104,,
Mansfield Park (Paperback),Charlaine Harris,1814,Adult,Classic Literature,476,3.86,321831,,
"Marked (House of Night, #1)",P.C. Cast,2007,Young Adult, Fantasy,306,3.8,469197,,
Marriage for One (Kindle Edition),Ella Maise,2019,Adult, Historical Romance,352,3.93,60911,,
"Married by Morning (The Hathaways, #4)",Lisa Kleypas,2010,Adult, Historical Romance,416,4.14,39467,,
"Marrying Winterborne (The Ravenels, #2)",Lisa Kleypas,2016,Adult, Fantasy Romance,351,4.11,35087,,
"Master of Crows (Master of Crows, #1)",Grace Draven,2009,Adult, Contemporary Romance,384,3.93,16671,,
"Match Me If You Can (Chicago Stars, #6)",Susan Elizabeth Phillips,2005,Young Adult, Dystopian/Science Fiction,369,4.13,45324,,
"Matched (Matched, #1)",Ally Condie,2010,Adult, Contemporary Fiction,352,3.63,732124,TRUE,
Maybe in Another Life (Paperback),Taylor Jenkins Reid,2015,Adult, Contemporary Fiction,144,3.81,120415,,
"Maybe Not (Maybe, #1.5)",Colleen Hoover,2014,Adult, Contemporary Fiction,400,3.86,76362,,
"Maybe Someday (Maybe, #1)",Colleen Hoover,2014,Adult, Contemporary Fiction,489,4.16,295662,,
"Me Before You (Me Before You, #1)",Jojo Moyes,2012,Adult, Contemporary Fiction,332,4.26,1436094,,
Meet Cute (Paperback),Helena Hunting,2019,Adult, Contemporary Fiction,368,3.73,42164,,
Meet Me in the Margins (Paperback),Melissa    Ferguson,2022,Young Adult, Urban Fantasy,260,3.64,17452,TRUE,
Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,1997,Young Adult, Urban Fantasy,320,4.14,1885367,,
Message in a Bottle (Paperback),Nicholas Sparks,1998,Young Adult, Urban Fantasy,200,3.97,227762,,
Midnight Bayou (Mass Market Paperback),Nora Roberts,2001,Adult, Contemporary Romance,329,3.99,33186,,
Midnight Sun (Hardcover),Stephenie Meyer,2020,Adult, Mystery/Thriller,352,3.72,194655,,
Midnight Sun [2008 Draft] (ebook),Stephenie Meyer,2008,Adult, Mystery/Thriller,384,4.01,149452,,
"Mine Till Midnight (The Hathaways, #1)",Lisa Kleypas,2007,Adult, Contemporary Romance,415,4.08,69241,,
Mine to Possess (Psy-Changeling #4),Nalini Singh,2008,Adult, Contemporary Romance,448,4.08,30154,,
"Minx (The Splendid Trilogy, #3)",Julia Quinn,1996,Young Adult, Historical Fiction,491,3.86,16764,,
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,Adult, Contemporary Romance,480,4.06,2804597,TRUE,
Montana Sky (Paperback),Nora Roberts,1996,Adult, Contemporary Romance,291,4.09,46437,,
"Moon Called (Mercy Thompson, #1)",Patricia Briggs,2006,Young Adult, Fantasy/Paranormal,306,4.14,196203,,
"Morrigan's Cross (Circle Trilogy, #1)",Nora Roberts,2006,Young Adult, Fantasy/Paranormal,384,4.14,52998,,
"Motorcycle Man (Dream Man, #4)",Kristen Ashley,2012,Young Adult, Fantasy/Paranormal,339,4.39,55492,,
"Mr. Cavendish, I Presume (Two Dukes of Wyndham, #2)",Julia Quinn,2008,Adult, Mystery/Thriller,353,3.6,15594,,
Mr. Perfect (Mass Market Paperback),Linda Howard,2000,Adult, Contemporary Fiction,292,4.06,34063,,
Mr. Wrong Number (Kindle Edition),Lynn Painter,2022,Adult,Classic Literature,400,3.75,30262,TRUE,
Much Ado About You (Kindle Edition),Samantha Young,2021,Adult,Classic Literature,288,3.67,15445,,
My Favorite Half-Night Stand (Paperback),Christina Lauren,2018,Adult, Contemporary Fiction,454,3.77,61122,,
"My Favorite Mistake (My Favorite Mistake, #1)",Chelsea M. Cameron,2012,Young Adult, Contemporary Fiction,394,3.98,55970,,
My Killer Vacation (ebook),Tessa Bailey,2022,Young Adult, Contemporary Fiction,394,3.83,47186,,
"My Lady Jane (The Lady Janies, #1)",Cynthia Hand,2016,Adult, Contemporary Fiction,352,4.04,50688,,
My Life Next Door (Hardcover),Huntley Fitzpatrick,2012,Young Adult, Contemporary Fiction,369,3.98,147935,,
My Not So Perfect Life (Paperback),Sophie Kinsella,2017,Young Adult, Contemporary Fiction,368,3.8,111635,,
My True Love Gave to Me: Twelve Holiday Stories (Hardcover),Stephanie Perkins,2014,Young Adult, Contemporary Fiction,336,3.67,39069,,
"Mystery Man (Dream Man, #1)",Kristen Ashley,2011,Young Adult, Contemporary Fiction,384,4.21,70047,,
"Naked (The Blackstone Affair, #1)",Raine Miller,2012,Young Adult, Contemporary Fiction,349,4.01,73497,,
"Naked in Death (In Death, #1)",J.D. Robb,1995,Young Adult, Fantasy,360,4.12,181828,,
"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips,2007,Young Adult, Fantasy,288,4.15,35013,,
"Neanderthal Seeks Human (Knitting in the City, #1)",Penny Reid,2013,Young Adult, Fantasy,224,3.9,60932,,
"Neon Gods (Dark Olympus, #1)",Katee Robert,2021,Adult, Fantasy Romance,400,3.74,112532,,
"Never Judge a Lady by Her Cover (The Rules of Scoundrels, #4)",Sarah MacLean,2014,Adult, Historical Romance,384,3.96,19315,,
Never Let Me Go (Paperback),Kazuo Ishiguro,2005,Adult, Science Fiction/Dystopian,288,3.84,593231,,
"Never Love a Highlander (McCabe Trilogy, #3)",Maya Banks,2011,Adult, Historical Romance,336,4.21,25853,,
"Never Never (Never Never, #1)",Colleen Hoover,2015,Adult, Fantasy,400,4.02,86589,,
"Never Never: Part Two (Never Never, #2)",Colleen Hoover,2015,Young Adult, Fantasy,416,4.01,55286,,
"Never Seduce a Scot (The Montgomerys and Armstrongs, #1)",Maya Banks,2012,Adult, Historical Romance,371,4.15,31542,,
"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Abbi Glines,2013,Young Adult, Paranormal Romance,384,4.17,119168,,
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,2006,Young Adult, Paranormal Romance,563,3.57,1734961,,
Nick & Norah's Infinite Playlist (Hardcover),Rachel Cohn,2006,Young Adult, Contemporary Fiction,183,3.7,83459,,
"Night Embrace (Dark-Hunter, #2)",Sherrilyn Kenyon,2003,Adult, Paranormal Romance,342,4.23,58839,,
"Night Play (Dark-Hunter, #5; Were-Hunter, #1)",Sherrilyn Kenyon,2004,Adult, Paranormal Romance,352,4.34,53073,,
"Night Pleasures (Dark-Hunter, #1)",Sherrilyn Kenyon,2002,Adult, Paranormal Romance,320,4.19,77021,,
Nights in Rodanthe (Paperback),Nicholas Sparks,2002,Adult, Romance,352,3.84,164417,,
"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)",Tia Williams,2010,Adult, Historical Romance,374,4.08,49547,,
"No Good Duke Goes Unpunished (The Rules of Scoundrels, #3)",Sarah MacLean,2013,Adult, Paranormal Romance,357,3.86,20338,,
"No Rest for the Wicked (Immortals After Dark, #2)",Kresley Cole,2006,Adult, Contemporary Romance,384,4.27,56303,,
"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips,1997,Adult, Contemporary Fiction,288,4.04,39669,,
Normal People (Hardcover),Sally Rooney,2018,Adult, Classic Literature,521,3.83,948855,,
North and South (Paperback),Elizabeth Gaskell,1854,Adult,Classic Literature,258,4.14,158995,TRUE,
Northanger Abbey (Paperback),Jane Austen,1817,Adult, Contemporary Fiction,720,3.84,356726,,
Northern Lights (Mass Market Paperback),Nora Roberts,2004,Adult, Romance,400,4.02,43218,,
Norwegian Wood (Paperback),Haruki Murakami,1987,Young Adult, Paranormal Romance,335,4.03,490161,TRUE,
November 9 (Paperback),Colleen Hoover,2015,Young Adult, Paranormal Romance,335,4.29,532191,,
"Obsidian (Lux, #1)",Jennifer L. Armentrout,2011,Young Adult, Science Fiction,335,4.15,267374,,
"On Dublin Street (On Dublin Street, #1)",Samantha Young,2012,Adult, Contemporary Romance,372,4.18,189455,,
"On the Edge (The Edge, #1)",Ilona Andrews,2009,Adult, Urban Fantasy,309,4.04,42672,,
"On the Fence (Old Town Shops, #2)",Kasie West,2014,Young Adult, Contemporary Romance,296,4.03,57713,,
"On the Island (On the Island, #1)",Tracey Garvis Graves,2011,Adult, Contemporary Romance,336,4.11,81213,,
"On the Way to the Wedding (Bridgertons, #8)",Julia Quinn,2006,Adult, Historical Romance,373,3.84,89776,TRUE,
"Once and Always (Sequels, #1)",Judith McNaught,1987,Adult, Historical Romance,464,4.18,25997,,
Once and for All (Hardcover),Sarah Dessen,2017,Young Adult, Contemporary Romance,432,3.76,33164,,
"Once Burned (Night Prince, #1)",Jeaniene Frost,2012,Adult, Paranormal Romance,384,4.2,66290,,
"Once Ghosted, Twice Shy (Reluctant Royals, #2.5)",Alyssa Cole,2019,Adult, Contemporary Romance,288,3.79,4714,,
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,2021,Young Adult, Fantasy,384,4.15,58490,TRUE,
"Once Upon a Winter's Eve (Spindle Cove, #1.5)",Tessa Dare,2011,Adult, Historical Romance,144,3.59,11582,,
"One Dance with a Duke (Stud Club, #1)",Tessa Dare,2010,Adult, Historical Romance,384,3.86,14413,,
One Day (Hardcover),Jasmine Guillory,2009,Adult, Contemporary Romance,400,3.81,310337,,
One Day in December (Paperback),Josie Silver,2018,Adult, Contemporary Fiction,392,3.89,239627,,
"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,2008,Adult, Paranormal Romance,357,4.29,101508,,
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,1994,Adult, Mystery/Comedy,320,4.04,520424,,
"One Good Earl Deserves a Lover (The Rules of Scoundrels, #2)",Sarah MacLean,2013,Adult, Historical Romance,384,4.03,29368,,
One Last Stop (Paperback),Casey McQuiston,2021,Adult, Contemporary Romance,352,4.01,154210,TRUE,
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,2017,Young Adult, Contemporary Romance,384,3.99,603338,TRUE,
One Plus One (Paperback),Jojo Moyes,2014,Adult, Contemporary Fiction,384,3.95,162582,,
One to Watch (Paperback),(Pseudonym),2020,Adult, Romance,400,3.91,81435,,
One True Loves (Kindle Edition),Taylor Jenkins Reid,2016,Young Adult, Contemporary Romance,386,4.1,164083,TRUE,
"One Week Girlfriend (One Week Girlfriend, #1)",Monica  Murphy,2013,Adult, Contemporary Romance,464,3.92,52570,,
"One with You (Crossfire, #5)",Sylvia Day,2016,Young Adult, LGBTQ+ Contemporary Romance,368,4.12,68873,,
Only Mostly Devastated (Hardcover),Sophie Gonzales,2020,Young Adult, Contemporary Romance,400,3.99,23451,,
"Only When It's Us (Bergman Brothers, #1)",Chloe Liese,2020,Young Adult, Fantasy,528,4.01,26179,,
"Onyx (Lux, #2)",Jennifer L. Armentrout,2012,Young Adult, Fantasy,366,4.25,171763,,
"Opal (Lux, #3)",Jennifer L. Armentrout,2012,Young Adult, Fantasy,400,4.26,143863,,
Opposite of Always (Kindle Edition),Justin A. Reynolds,2019,Adult, Romance,688,3.67,22288,,
"Opposition (Lux, #5)",Jennifer L. Armentrout,2014,Adult, Romance,440,4.35,78823,,
"Origin (Lux, #4)",Jennifer L. Armentrout,2013,Young Adult, Romance,319,4.34,106214,,
"Outlander (Outlander, #1)",Diana Gabaldon,1991,Young Adult, Dystopian,375,4.25,957461,,
"Own the Wind (Chaos, #1)",Kristen Ashley,2013,Young Adult, Contemporary Romance,384,4.2,47464,,
P.S. I Like You (Hardcover),Kasie West,2016,Young Adult, Contemporary Romance,390,4.05,54335,,
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,2004,Young Adult, Romance,352,4.03,365580,TRUE,
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,2015,Young Adult, Romance,400,4.05,321648,TRUE,
"Pandemonium (Delirium, #2)",Lauren Oliver,2012,Young Adult, Romance,312,4.04,231558,,
"Paper Princess (The Royals, #1)",Erin Watt,2016,Adult, Contemporary Romance,322,3.95,126593,,
Paper Towns (Paperback),John Green,2008,Adult, Mystery/Thriller,320,3.74,1193459,TRUE,
"Paradise (Second Opportunities, #1)",Judith McNaught,1991,Adult, Historical Romance,706,4.3,33238,,
Part of Your World (Paperback),Abby Jimenez,2022,Adult, Contemporary Fiction,384,4.41,54863,,
"Party of Two (The Wedding Date, #5)",Jasmine Guillory,2020,Adult, Contemporary Romance,320,3.78,41411,,
"Payback's a Witch (The Witches of Thistle Grove, #1)",Lana  Harper,2021,Adult, Paranormal Romance,336,3.69,15882,TRUE,
People We Meet on Vacation (Paperback),Emily Henry,2021,Adult, Contemporary Romance,368,3.97,658406,TRUE,
"Perfect (Second Opportunities, #2)",Judith McNaught,1993,Adult, Historical Romance,704,4.3,23473,,
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,2008,Young Adult, Contemporary Romance,368,4.05,255549,,
Perfect on Paper (Hardcover),Sophie Gonzales,2021,Young Adult, Contemporary Fiction,352,4.07,21852,,
"Perfection (Neighbor from Hell, #2)",R.L. Mathewson,2011,Adult, Contemporary Romance,442,4.13,64231,,
Persuasion (Paperback),Jane Austen,1817,Adult, Classic Literature,288,4.15,620545,TRUE,
"Pestilence (The Four Horsemen, #1)",Laura Thalassa,2018,Adult, Fantasy,384,3.92,62447,,
"Play (Stage Dive, #2)",Kylie Scott,2014,Adult, Paranormal Romance,352,4.26,55646,,
Play of Passion (Psy-Changeling #9),Nalini Singh,2010,Adult, Paranormal Romance,384,4.23,27951,,
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson,2011,Adult, Contemporary Romance,384,4.03,111514,,
"Pleasure of a Dark Prince (Immortals After Dark, #8)",Kresley Cole,2010,Adult, Paranormal Romance,352,4.37,43345,,
"Pleasure Unbound (Demonica, #1)",Larissa Ione,2008,Adult, Fantasy,384,4.04,53139,,
"Point of Retreat (Slammed, #2)",Colleen Hoover,2012,Adult, Fantasy,328,4.24,163696,,
"Poison Study (Study, #1)",Maria V. Snyder,2005,Adult, Science Fiction Romance,448,4.1,159309,,
"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,2019,Adult, Historical Romance,400,3.92,10458,,
"Portrait of a Scotsman (A League of Extraordinary Women, #3)",Evie Dunmore,2021,Adult, Contemporary Romance,352,3.88,22701,,
Practice Makes Perfect (Mass Market Paperback),Julie James,2009,Young Adult, Contemporary Romance,384,3.96,31107,,
"Pretty Reckless (All Saints High, #1)",L.J. Shen,2019,Adult, Contemporary Romance,384,4.12,56819,,
Pride (ebook),Ibi Zoboi,2018,Young Adult, Fantasy,576,3.75,25057,,
Pride and Prejudice (Paperback),Jane Austen,1813,Adult, Contemporary Romance,342,4.28,3732237,TRUE,
"Pride, Prejudice, and Other Flavors (The Rajes, #1)",Sonali Dev,2019,Adult, Contemporary Romance,353,3.69,15208,,
"Priest (Priest, #1)",Sierra Simone,2015,Adult, Contemporary Romance,336,3.76,58593,,
"Prodigy (Legend, #2)",Marie Lu,2013,Adult, Contemporary Romance,400,4.24,241293,,
"Pucked (Pucked, #1)",Helena Hunting,2015,Young Adult, Science Fiction,400,3.92,58892,,
Pumpkinheads (Hardcover),Rainbow Rowell,2019,Young Adult, Contemporary Romance,432,4.04,69334,TRUE,
Punk 57 (Kindle Edition),Penelope Douglas,2016,Adult, Contemporary Romance,348,3.85,262165,,
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,2012,Young Adult, Contemporary Romance,371,4.05,121285,,
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,2015,Young Adult, Fantasy,400,4.56,412140,,
"Radiance (Wraith Kings, #1)",Grace Draven,2015,Adult, Contemporary Romance,384,4.03,50425,,
"Rafe (Loose Ends, #1)",Rebekah Weatherspoon,2018,Adult, Paranormal Romance,384,3.75,7578,,
"Rainshadow Road (Friday Harbor, #2)",Lisa Kleypas,2012,Adult, Paranormal Romance,384,3.87,15510,,
"Ransom (Highlands' Lairds, #2)",Julie Garwood,1999,Adult, Paranormal Romance,368,4.32,33842,,
"Rapture (Fallen, #4)",Lauren Kate,2012,Young Adult, Contemporary Romance,336,3.99,112876,,
Ravished (Mass Market Paperback),Amanda Quick,1992,Adult, Contemporary Romance,336,4.02,19058,,
"Reached (Matched, #3)",Ally Condie,2012,Adult, Fantasy,335,3.55,157531,TRUE,
"Real (Real, #1)",Katy Evans,2013,Adult, Paranormal Romance,330,4.16,106565,,
"Reaper's Property (Reapers MC, #1)",Joanna Wylde,2013,Adult, Romance,418,4.08,57251,,
"Reason to Breathe (Breathing, #1)",Rebecca    Donovan,2011,Young Adult, Science Fiction,416,4.21,90348,,
Rebecca (ebook),Daphne du Maurier,1938,Adult, Contemporary Romance,320,4.24,556837,TRUE,
"Reckless (Thoughtless, #3)",S.C. Stephens,2013,Young Adult, Contemporary Romance,352,4.41,77124,,
"Red Lily (In the Garden, #3)",Nora Roberts,2005,Adult, Historical Romance,322,4.08,38459,,
"Red Queen (Red Queen, #1)",Victoria Aveyard,2015,Adult, Science Fiction Romance,600,4.03,833765,,
"Red, White & Royal Blue (Paperback)",Casey McQuiston,2019,Young Adult, Fantasy,320,4.16,607767,TRUE,
Redeeming Love (Paperback),Francine Rivers,1991,Adult, Contemporary Romance,358,4.5,273997,,
"Reflected in You (Crossfire, #2)",Sylvia Day,2012,Young Adult, Contemporary Romance,384,4.31,334677,,
Regretting You (Kindle Edition),Colleen Hoover,2019,Young Adult, Contemporary Romance,448,4.22,287156,,
"Release Me (Stark Trilogy, #1)",J. Kenner,2013,Young Adult, Contemporary Romance,384,4.12,77852,,
Remember Me? (Hardcover),Sophie Kinsella,2008,Young Adult, Contemporary Romance,384,3.8,240254,,
Reminders of Him (Kindle Edition),Colleen Hoover,2022,Young Adult, Fantasy,384,4.52,523841,,
"Requiem (Delirium, #3)",Lauren Oliver,2013,Young Adult, Contemporary Romance,304,3.74,141702,,
"Restore Me (Shatter Me, #4)",Tahereh Mafi,2018,Adult, Mystery/Thriller,320,4.17,116386,,
"Rhapsodic (The Bargainer, #1)",Laura Thalassa,2016,Adult, Contemporary Romance,432,3.98,88341,,
"Rhythm, Chord & Malykhin (Kindle Edition)",Mariana Zapata,2015,Adult, Contemporary Romance,336,3.96,26860,,
"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,2017,Young Adult, Contemporary Romance,448,3.94,151427,,
"Ricochet (Addicted, #2)",Krista Ritchie,2013,Adult, Contemporary Romance,320,3.88,48742,,
"Rising Tides (Chesapeake Bay Saga, #2)",Nora Roberts,1998,Adult, Paranormal Romance,432,4.16,32651,,
"Rival (Fall Away, #2)",Penelope Douglas,2014,Adult, Contemporary Romance,335,4.06,44757,,
"Rock Chick (Rock Chick, #1)",Kristen Ashley,2008,Adult, Historical Romance,352,4.17,56208,,
"Rock Chick Rescue (Rock Chick, #2)",Kristen Ashley,2009,Adult, Contemporary Romance,352,4.3,36458,,
"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,2002,Adult, Historical Romance,384,3.96,188360,TRUE,
"Romancing the Duke (Castles Ever After, #1)",Tessa Dare,2014,Adult, Historical Romance,384,3.89,40861,,
Romeo and Juliet (Mass Market Paperback),William Shakespeare,1597,Adult,Classic Literature,368,3.74,2376465,TRUE,
RoomHate (Paperback),Penelope Ward,2016,Adult, Contemporary Romance,336,3.9,59673,,
Roomies (Paperback),Christina Lauren,2017,Adult, Contemporary Romance,368,3.82,58406,,
"Rosaline Palmer Takes the Cake (Winner Bakes All, #1)",Alexis  Hall,2021,Adult, Contemporary Romance,384,3.93,8614,,
"Royal Holiday (The Wedding Date, #4)",Jasmine Guillory,2019,Adult, Contemporary Romance,336,3.5,35927,,
"Royally Matched (Royally, #2)",Emma Chase,2017,Adult, Contemporary Romance,276,4.12,22965,,
"Royally Screwed (Royally, #1)",Emma Chase,2016,Adult, Contemporary Romance,352,4.01,42073,,
"Royals (Royals, #1)",Rachel Hawkins,2018,Young Adult, Contemporary Romance,304,3.77,22774,TRUE,
"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,2009,Young Adult, Fantasy,360,4.12,138597,,
"Ruckus (Sinners of Saint, #2)",L.J. Shen,2017,Adult, Contemporary Romance,449,4.18,49537,,
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,2014,Young Adult, Fantasy,432,4.02,414245,,
"Rule (Marked Men, #1)",Jay Crownover,2012,Young Adult, Contemporary Romance,416,4.12,97511,,
"Rules of Attraction (Perfect Chemistry, #2)",Simone Elkeles,2010,Young Adult, Contemporary Romance,448,4.18,86658,,
"Rush (Breathless, #1)",Maya Banks,2013,Adult, Contemporary Romance,276,3.91,75310,,
"Rusty Nailed (Cocktail, #2)",Alice Clayton,2014,Adult, Contemporary Romance,336,3.93,32335,,
Safe Haven (Kindle Edition),Nicholas Sparks,2010,Young Adult, Contemporary Romance,432,4.21,363661,,
Saint Anything (Hardcover),Sarah Dessen,2015,Young Adult, Contemporary Romance,432,4.03,60475,,
"Saphirblau (Edelstein-Trilogie, #2)",Kerstin Gier,2010,Young Adult, Fantasy,416,4.17,97457,,
Saving Grace (Paperback),Julie Garwood,1993,Adult, Contemporary Romance,352,4.25,26972,,
"Savor the Moment (Bride Quartet, #3)",Nora Roberts,2010,Adult, Contemporary Romance,320,4.14,55327,,
"Say Yes to the Marquess (Castles Ever After, #2)",Tessa Dare,2014,Adult, Historical Romance,400,3.83,21080,,
"Scandal in Spring (Wallflowers, #4)",Lisa Kleypas,2006,Adult, Historical Romance,358,4.03,48206,,
"Scandalous (Sinners of Saint, #3)",L.J. Shen,2017,Adult, Paranormal Romance,368,4.18,45822,,
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,2013,Adult, Historical Romance,352,4.26,377397,,
"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,1998,Adult, Paranormal Romance,400,4.23,59388,,
Second Chance Summer (Hardcover),Morgan Matson,2012,Adult,Classic Literature,320,4.13,50899,,
Second First Impressions (Hardcover),Sally  Thorne,2021,Young Adult, Fantasy,528,3.59,60023,TRUE,
"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas,2004,Adult, Romance,320,4.03,67926,,
"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas,2008,Adult, Contemporary Romance,362,4.07,39570,,
"Seduction and Snacks (Chocolate Lovers, #1)",Tara Sivec,2012,Young Adult, Romance,384,4.07,52342,,
"Seduction of a Highland Lass (McCabe Trilogy, #2)",Maya Banks,2011,Young Adult, Romance,400,4.16,24224,,
"Seize the Night (Dark-Hunter, #6)",Sherrilyn Kenyon,2004,Adult, Contemporary Romance,368,4.34,46888,,
Sense and Sensibility (Paperback),Jane Austen,1811,Adult, Romance,320,4.08,1092091,,
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,2019,Young Adult, Fantasy,448,4.03,220662,TRUE,
Set on You (Paperback),Amy  Lea,2022,Young Adult, Contemporary Romance,384,3.71,13844,,
Seven Days in June (Hardcover),Gayle Forman,2021,Adult, Paranormal Romance,400,4.09,78605,,
"Shades of Milk and Honey (Glamourist Histories, #1)",Mary Robinette Kowal,2010,Young Adult, Romance,336,3.49,15908,TRUE,
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,2012,Adult, Contemporary Romance,336,3.95,776233,TRUE,
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,2008,Adult, Contemporary Romance,528,4.34,350550,,
"Shadow of Night (All Souls, #2)",Deborah Harkness,2012,Young Adult, Fantasy,480,4.07,219870,,
"Shadow Spell (The Cousins O'Dwyer Trilogy, #2)",Nora Roberts,2014,Young Adult, Contemporary Romance,384,4.06,37196,,
"Shadowfever (Fever, #5)",Karen Marie Moning,2011,Adult, Paranormal Romance,336,4.39,105380,,
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,2011,Adult, Historical Romance,400,3.9,517418,TRUE,
She Drives Me Crazy (ebook),Kelly Quindlen,2021,Adult, Historical Romance,384,4.03,32631,,
She Gets the Girl (Hardcover),Rachael Lippincott,2022,Adult, LGBTQ+ Romance,240,4.22,17332,,
"Shelter Mountain (Virgin River, #2)",Robyn Carr,2007,Adult, Contemporary Romance,400,4.17,37378,,
Shipped (Paperback),Angie Hockman,2021,Adult, Contemporary Romance,336,3.66,51696,TRUE,
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009,Young Adult, Fantasy,392,3.76,465220,,
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,2013,Young Adult, Fantasy,432,3.85,486943,,
"Silence (Hush, Hush, #3)",Becca Fitzpatrick,2011,Young Adult, Fantasy,438,4.09,269681,,
"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,2010,Adult, Urban Fantasy,342,4.38,102351,,
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,2015,Young Adult, Contemporary Romance,303,4.2,389450,,
"Simply Irresistible (Lucky Harbor, #1)",Jill Shalvis,2010,Adult, Contemporary Romance,312,3.91,33897,,
Since You've Been Gone (Hardcover),Morgan Matson,2014,Young Adult, Contemporary Romance,464,4.09,109598,,
"Sins & Needles (The Artists Trilogy, #1)",Karina Halle,2013,Adult, Romantic Suspense,326,3.94,22475,,
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,2015,Young Adult, Fantasy,465,4.49,708962,,
"Slammed (Slammed, #1)",Colleen Hoover,2012,Young Adult, Contemporary Romance,352,4.22,254688,,
