title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
"Whitney, My Love (Westmoreland, #2)",Judith McNaught,1985,Adult, Historical Romance, 726 pages,4.13,34654,,
"Wicked (A Wicked Trilogy, #1)",Jennifer L. Armentrout,2014,Young Adult, Fantasy, 384 pages,3.99,44787,,
"Wicked and the Wallflower (The Bareknuckle Bastards, #1)",Sarah MacLean,2018,Adult, Paranormal Romance, 361 pages,3.98,17089,,
"Wicked Deeds on a Winter's Night (Immortals After Dark, #3)",Kresley Cole,2007,Adult, Historical Romance, 373 pages,4.34,53529,,
"Wicked Intentions (Maiden Lane, #1)",Elizabeth Hoyt,2010,Young Adult, Fantasy, 352 pages,3.82,18073,TRUE,
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,2007,Adult, Paranormal Romance, 400 pages,3.69,162190,,
"Wild Man (Dream Man, #2)",Kristen Ashley,2011,Adult, Paranormal Romance, 403 pages,4.19,42456,,
"Wildest Dreams (Fantasyland, #1)",Kristen Ashley,2011,Adult, Fantasy Romance, 554 pages,4.07,31819,,
"Wildfire (Hidden Legacy, #3)",Ilona Andrews,2017,Adult, Urban Fantasy, 391 pages,4.5,34237,,
"Will Grayson, Will Grayson (Hardcover)",John Green,2010,Young Adult, Contemporary Fiction, 310 pages,3.72,378446,,
Window Shopping (ebook),Tessa Bailey,2021,Adult, Science Fiction, 832 pages,3.67,39346,,
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,2015,Adult, Contemporary Fiction, 426 pages,4.43,245936,,
"Wintersong (Wintersong, #1)",S. Jae-Jones,2017,Adult, Paranormal Romance, 531 pages,3.54,29627,,
Without Merit (Kindle Edition),Colleen Hoover,2017,Adult, Historical Romance, 391 pages,3.85,125196,,
"Wolfsong (Green Creek, #1)",T.J. Klune,2016,Adult, Contemporary Fiction, 336 pages,4.36,41622,,
Words in Deep Blue (Hardcover),Cath Crowley,2016,Young Adult, Contemporary Fiction, 336 pages,4.04,32724,,
"World After (Penryn & the End of Days, #2)",Susan Ee,2013,Adult, Science Fiction, 624 pages,4.15,100144,,
"Worth Any Price (Bow Street Runners, #3)",Lisa Kleypas,2003,Adult, Historical Romance, 391 pages,4.02,19683,,
Would Like to Meet (Kindle Edition),Rachel Winters,2019,Adult, Contemporary Fiction, 368 pages,3.72,19515,,
"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,2014,Young Adult, Contemporary Romance, 336 pages,4.54,113874,,
"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur,2020,Adult, Contemporary Fiction, 336 pages,3.91,31978,,
"Wrong (Cafe, #1)",Jana Aston,2015,Young Adult, Contemporary Fiction, 464 pages,3.84,43621,,
Wuthering Heights (Paperback),Emily Brontë,1847,Adult, Contemporary Romance, 368 pages,3.88,1606402,,
XOXO (ebook),Axie Oh,2021,Adult, Contemporary Fiction, 336 pages,3.9,16609,TRUE,
Yes No Maybe So (ebook),Becky Albertalli,2020,Young Adult, Contemporary Fiction, 336 pages,3.77,22879,,
You Deserve Each Other (Kindle Edition),Sarah Hogle,2020,Young Adult, Contemporary Fiction, 352 pages,3.95,77084,TRUE,
"You Had Me at Hola (Primas of Power, #1)",Alexis Daria,2020,Young Adult, Contemporary Fiction, 384 pages,3.7,32398,,
You Made a Fool of Death with Your Beauty (Hardcover),Akwaeke Emezi,2022,Young Adult, Contemporary Fiction, 336 pages,3.75,14222,,
You Should See Me in a Crown (Hardcover),Leah  Johnson,2020,Adult, Contemporary Romance, 432 pages,4.13,36131,,
You Should See Me in a Crown (Hardcover),Leah  Johnson,2020,Adult, Contemporary Romance, 336 pages,4.13,36131,,
You've Reached Sam (Hardcover),Dustin Thao,2021,Young Adult, Contemporary Fiction, 336 pages,3.77,52535,TRUE,
